Type	Snippet	Probability
FP	Dear Ms. Amanda Thompson, I trust this email finds you well. Our security systems have detected unusual login attempts on your account, indicating a potential security breach. As the Security Team Lead at ABC Technologies, I strongly urge y	0.7279
FP	=?gb2312?q?_=B4=F2=D4=ECMBA?= This is a multi-part message in MIME format --de3568c4-65bc-11d6-b6fa-0050ba415022 Content-Type: text/plain; charset=gb2312 Content-Transfer-Encoding: quoted-printable =CB=C4=B4=F3=CB=D8=D6=CA=C5=E0=D1=F8=B4=F2	0.6406
FP	Dear David, Ensuring the strength of your password is crucial for maintaining the security of your account. As part of our security protocol, we recommend resetting your password periodically. To reset your password, please visit: [Password	0.8361
FN	You've been locked out - This mail is in HTML. Some elements may be ommited in plain text. - Dear Customer, We hope you're having a great day, we noticed an inconsistency in your huntington account, To further protect you, we've locked your	0.5506
FN	Last Warning your response is Needed?? Our Ref:-4C9X0UE3X34Your Ref: 4774563677CIBC IMPERIAL BANK OF COMMERCE(CIBC ) Head OfficeEmail: meetbank@yandex.com Dear Customer, Greetings Dear Customer, How are you today we have been trying all mea	0.5239
FN	Re: New Order Inquiry Hello, I hope you are safe from the Covid 19. We are currently back to work and our company hope to place our urgent orders as previously discussed before the lockdown. Kindly find below our attached order via Wetransf	0.1767
FN	Revised PI=SC7712-AZY-2017-05-19 Attn, Kindly please double check the revised PI Best Regards ThThank you. Best regards, Nguyen Huong (Purchasing Manager)	0.3640
FN	Invitation: contact DHL Delivery Service with your Full Contact information OCT 17 "contact DHL Delivery Service with your Full Contact information" When Monday, 17 October 2016 04:00 PM to 05:00 PM (GMT) Greenwich Mean Time - Dublin / Edin	0.1996
FN	DON'T DELETE THIS MESSAGE -- FOLDER INTERNAL DATA This text is part of the internal format of your mail folder, and is not a real message. It is created automatically by the mail system software. If deleted, important folder data will be lo	0.3511
FN	Please Contact The IT Service Desk Password will expire in 2 days. Click Here To Validate E-mail Thank you, Copyright 1993-2013 CONFIDENTIALITY NOTICE: This e-mail is intended only for the person or entity to which it is addressed and may c	0.2926
FN	Fw: Mould Purchase Order - order#84014 Good Morning, I have been trying to send you this file but was unsuccessful with attaching them to my email because the file is too large, then i manage to upload, so i secured them in the excel for yo	0.3741
